NELE,lon,lat,Area_m2
223,-82.98007467,41.96097658,2780628.4
224,-82.96827473,41.96233225,2851620.5
225,-82.96460497,41.97171201,2774427.3
226,-82.95122243,41.97294724,2960680.7
227,-82.94776187,41.98196179,2617126.7
228,-82.93559017,41.9838409,2756173.2
229,-83.23937817,41.97216053,2041258.5
230,-83.2396919,41.96242729,2585737.1
231,-83.2296423,41.95805387,2092297.7
232,-83.22627957,41.9500443,2298716.6
233,-83.21427287,41.95083546,1953504
234,-83.2086263,41.94491952,2240114.2
235,-83.1972351,41.94739435,2073226.6
236,-83.19177283,41.94088623,2033743.4
237,-83.18075957,41.94293506,2198618.5
238,-83.17566277,41.9368317,1807648.8
239,-83.1636549,41.93811177,2198824.2
240,-83.1604391,41.9307898,2060028.6
241,-83.15021887,41.92828534,2369051.8
242,-83.13864663,41.93251073,2830130.8
243,-83.12916853,41.92664793,2205058.1
244,-83.11678467,41.92677066,2484838.2
245,-83.11117137,41.91818069,2126572.3
246,-83.09842447,41.91648427,2662880.7
247,-83.09414797,41.90898511,2451635.4
248,-83.07993733,41.90831778,2504171
249,-83.06945047,41.91478616,2461814.4
250,-83.05455893,41.9140227,2608977.4
251,-83.0447542,41.92009146,2327142.7
252,-83.03066007,41.91986195,2249090.1
253,-83.0248544,41.9126592,2899983.6
254,-83.0101424,41.9122974,3000994.2
255,-83.00447933,41.92107556,2892121.9
256,-82.99258517,41.9222982,2879369.8
257,-82.98911833,41.93197518,2712352.3
258,-82.9763603,41.93337792,2820605.7
259,-82.9730085,41.94282478,2733671.1
260,-82.96108663,41.94478948,2839382
261,-82.95874,41.95438808,2729343.5
262,-82.94646917,41.95670183,2859029.4
263,-82.94262137,41.96588108,2678505.4
264,-82.92780353,41.96833446,3118215.3
265,-82.9242329,41.97727966,2896833.9
266,-82.91164693,41.98143992,3043994.9
267,-83.248353,41.95856303,2365076.7
268,-83.25170307,41.94788963,2565178.7
269,-83.24622753,41.94150959,2575354.1
270,-83.23321213,41.9430609,2533474.2
271,-83.2294362,41.93520251,1956806.9
272,-83.22036913,41.93203128,1895930.6
